id	shape	route	gateway	status	policy
D1	h1.1 Host=allowed	/api/search/stats	master-strict	200	-
D2	h1.1 Host=denied	/api/search/stats	master-strict	403	-
D3	h1.0 no Host	/api/search/stats	master-strict	403	-
D4	h1.1 abs-form auth=allowed	/api/search/stats	master-strict	200	-
D5	h1.1 abs-form auth=allowed Host=denied	/api/search/stats	master-strict	403	-
D6	h1.1 abs-form auth=denied Host=allowed	/api/search/stats	master-strict	200	-
D7	h2c :authority=allowed	/api/search/stats	master-strict	403	
D8	h2c :authority=denied	/api/search/stats	master-strict	403	
D9	h2c :authority=allowed host=denied	/api/search/stats	master-strict	403	
D10	h2c :authority=denied host=allowed	/api/search/stats	master-strict	200	{"setters":[],"bookmarks":[],"files":{"total":0,"unique":0,"mime_types":[]},"tag
D11	h2c no :authority host=allowed	/api/search/stats	master-strict	200	{"setters":[],"bookmarks":[],"files":{"total":0,"unique":0,"mime_types":[]},"tag
D12	h2c no :authority no host	/api/search/stats	master-strict	403	
D1	h1.1 Host=allowed	/api/client-config	branch-strict	200	allowed_host
D2	h1.1 Host=denied	/api/client-config	branch-strict	403	-
D3	h1.0 no Host	/api/client-config	branch-strict	403	-
D4	h1.1 abs-form auth=allowed	/api/client-config	branch-strict	200	allowed_host
D5	h1.1 abs-form auth=allowed Host=denied	/api/client-config	branch-strict	200	allowed_host
D6	h1.1 abs-form auth=denied Host=allowed	/api/client-config	branch-strict	403	-
D7	h2c :authority=allowed	/api/client-config	branch-strict	200	allowed_host
D8	h2c :authority=denied	/api/client-config	branch-strict	403	
D9	h2c :authority=allowed host=denied	/api/client-config	branch-strict	200	allowed_host
D10	h2c :authority=denied host=allowed	/api/client-config	branch-strict	403	
D11	h2c no :authority host=allowed	/api/client-config	branch-strict	200	allowed_host
D12	h2c no :authority no host	/api/client-config	branch-strict	403	
D1	h1.1 Host=allowed	/api/db	branch-strict	200	-
D2	h1.1 Host=denied	/api/db	branch-strict	403	-
D3	h1.0 no Host	/api/db	branch-strict	403	-
D4	h1.1 abs-form auth=allowed	/api/db	branch-strict	200	-
D5	h1.1 abs-form auth=allowed Host=denied	/api/db	branch-strict	200	-
D6	h1.1 abs-form auth=denied Host=allowed	/api/db	branch-strict	403	-
D7	h2c :authority=allowed	/api/db	branch-strict	200	{"index":{"current":"default","all":["default"]},"user_data":{"current":"default
D8	h2c :authority=denied	/api/db	branch-strict	403	
D9	h2c :authority=allowed host=denied	/api/db	branch-strict	200	{"index":{"current":"default","all":["default"]},"user_data":{"current":"default
D10	h2c :authority=denied host=allowed	/api/db	branch-strict	403	
D11	h2c no :authority host=allowed	/api/db	branch-strict	200	{"index":{"current":"default","all":["default"]},"user_data":{"current":"default
D12	h2c no :authority no host	/api/db	branch-strict	403	
D1	h1.1 Host=allowed	/api/search/stats	branch-strict	200	-
D2	h1.1 Host=denied	/api/search/stats	branch-strict	403	-
D3	h1.0 no Host	/api/search/stats	branch-strict	403	-
D4	h1.1 abs-form auth=allowed	/api/search/stats	branch-strict	200	-
D5	h1.1 abs-form auth=allowed Host=denied	/api/search/stats	branch-strict	200	-
D6	h1.1 abs-form auth=denied Host=allowed	/api/search/stats	branch-strict	403	-
D7	h2c :authority=allowed	/api/search/stats	branch-strict	200	{"setters":[],"bookmarks":[],"files":{"total":0,"unique":0,"mime_types":[]},"tag
D8	h2c :authority=denied	/api/search/stats	branch-strict	403	
D9	h2c :authority=allowed host=denied	/api/search/stats	branch-strict	200	{"setters":[],"bookmarks":[],"files":{"total":0,"unique":0,"mime_types":[]},"tag
D10	h2c :authority=denied host=allowed	/api/search/stats	branch-strict	403	
D11	h2c no :authority host=allowed	/api/search/stats	branch-strict	200	{"setters":[],"bookmarks":[],"files":{"total":0,"unique":0,"mime_types":[]},"tag
D12	h2c no :authority no host	/api/search/stats	branch-strict	403	
F1	h1.1 Host=denied XFH=allowed	/api/client-config	master-trustfalse	200	control_any
F2	h1.1 Host=allowed XFH=denied	/api/client-config	master-trustfalse	200	allowed_host
F3	h1.1 Host=denied Forwarded=host=allowed	/api/client-config	master-trustfalse	200	control_any
F4	h2c :authority=denied XFH=allowed	/api/client-config	master-trustfalse	200	control_any
F5	h2c :authority=allowed XFH=denied	/api/client-config	master-trustfalse	200	control_any
F6	h2c no :authority XFH=allowed	/api/client-config	master-trustfalse	200	control_any
F1	h1.1 Host=denied XFH=allowed	/api/client-config	branch-trustfalse	200	control_any
F2	h1.1 Host=allowed XFH=denied	/api/client-config	branch-trustfalse	200	allowed_host
F3	h1.1 Host=denied Forwarded=host=allowed	/api/client-config	branch-trustfalse	200	control_any
F4	h2c :authority=denied XFH=allowed	/api/client-config	branch-trustfalse	200	control_any
F5	h2c :authority=allowed XFH=denied	/api/client-config	branch-trustfalse	200	allowed_host
F6	h2c no :authority XFH=allowed	/api/client-config	branch-trustfalse	200	control_any
F1	h1.1 Host=denied XFH=allowed	/api/client-config	master-trusttrue	200	allowed_host
F2	h1.1 Host=allowed XFH=denied	/api/client-config	master-trusttrue	200	control_any
F3	h1.1 Host=denied Forwarded=host=allowed	/api/client-config	master-trusttrue	200	allowed_host
